tag	total	roms	images
NA - FastROM Hack by Kandowontu	91	91	0
NA - FastROM Hack by Kandowontu, Rev 1.1	21	21	0
Hack	17	16	1
JP - FastROM Hack by Kandowontu	12	12	0
Character Unlock Patch by Gallaux - NA	9	9	0
NA, Rev 1 - FastROM Hack by Kandowontu	7	7	0
hack	5	5	0
Audio Fix Patch by Justin Gibbins - NA	3	3	0
NA - FastROM Hack by MaxwelOlinda	3	3	0
NA - Flash Removal Patch by Privateye	3	3	0
NA - Undub Patch by C&P-kyun	3	3	0
Audio Fix Patch by Justin Gibbins - JP	2	2	0
Audio Remaster Patch by Dark City Productions - JP	2	2	0
DS Cheat Cartridge	2	0	2
JP - Flash Removal Patch by Privateye	2	2	0
NA - Content Restoration Patch by RealGaea, Rev 1.2 3b - Arcade Remix Version	2	2	0
NA - Content Restoration Patch by SCD, Rev Final	2	2	0
NA - Disc 1 - Un-Working Designs Patch by Supper	2	2	0
NA - Disc 2 - Un-Working Designs Patch by Supper	2	2	0
NA - FastROM Hack by Kandowontu, Rev 1.2	2	2	0
NA - Japanese Features Restoration Patch by SCD, Rev Final	2	2	0
NA - Project Pro Skater Volume 4 Patch by Casey Mongillo	2	2	0
NA - Secret Characters Unlocked Patch by Docrow	2	2	0
NA - Undub Patch by Swosho	2	2	0
Un-Worked Design Patch by Supper - NA	2	2	0
320×240 Video Output Patch by Fluvian - JP	1	1	0
4 Player Co-Op Patch by Gallaux - EU	1	1	0
4 Player Patch by Gallaux - NA	1	1	0
All Characters Unlocked and Easier Difficulty Patch, Rev 2, by BillyTime! Games - NA	1	1	0
All Extras and Megatron X Unlocked Patch by Astolfo2001 - JP	1	1	0
All Unlocks Patch by Gallaux - NA, Rev 2	1	1	0
Arcade Colors and 9 Lives Patch, Rev 2, by SCD - JP	1	1	0
Audio Fix Patch, Rev 20201702, by Riggles - NA	1	1	0
Audio Remaster and Music Mashup Patch by Dark City Productions - JP	1	1	0
Background Scrolling Patch by Diogo Ribeiro - NA	1	1	0
Bonus Levels Patch by Gallaux - NA	1	1	0
Brightness Patch by Linkuei - NA, Rev 1	1	1	0
